NAME,SALARY
Aaron Brooks,2700000
Aaron Gordon,4351320
Aaron Harrison,874636
Abdel Nader,1167333
Adreian Payne,2022240
Al Horford,26540100
Al Jefferson,10314532
Al-Farouq Aminu,7680965
Alec Burks,10154495
Alex Abrines,5994764
Alex Len,4823621
Alexis Ajinca,4638203
Allen Crabbe,18500000
Alonzo Gee,57672
Amir Johnson,12000000
Andre Iguodala,11131368
Andre Roberson,2183072
Andrew Andrews,543471
Andrew Bogut,242224
Andrew Goudelock,1015696
Andrew Harrison,1312611
Andrew Nicholson,6088993
Andrew Wiggins,6006600
Anthony Bennett,1015696
Anthony Brown,57672
Anthony Davis,22116750
Anthony Morrow,3488000
Archie Goodwin,1577230
Aron Baynes,6500000
Arron Afflalo,12500000
Austin Rivers,11000000
Avery Bradley,8269663
Ben McLemore,4008882
Ben Simmons,5903160
Bismack Biyombo,17000000
Blake Griffin,20140839
Boban Marjanovic,7000000
Bobby Portis,1453680
Bobby Portis,1516320
Bojan Bogdanovic,3730653
Boris Diaw,7000000
Bradley Beal,22116750
Brandan Wright,5709880
Brandon Ingram,5281680
Brandon Jennings,5000000
Brandon Knight,12606250
Brandon Paul,815615
Brandon Rush,3500000
Briante Weber,1471382
Brice Johnson,1331160
Brook Lopez,21165675
Bruno Caboclo,1589640
Bryn Forbes,1312611
Buddy Hield,3517200
Caleb Swanigan,1465920
Cameron Oliver,815615
Cameron Payne,2112480
Caris LeVert,1562280
Carl Landry,6500000
Carmelo Anthony,24559380
Caron Butler,1551659
Caron Butler,1551659
Casper Ware,874636
Chandler Parsons,22116750
Channing Frye,7806971
Chasson Randle,1312611
Chris Bosh,23741060
Chris Johnson,1050961
Chris Paul,22868827
Christian Wood,874636
CJ McCollum,3219579
CJ Miles,4583450
CJ Wilcox,1209600
Cliff Alexander,874636
Cody Zeller,5318313
Cole Aldrich,7643979
Corey Brewer,7612172
Cory Joseph,7315000
Courtney Lee,11242000
D.J. Augustin,7250000
D.J. Kennedy,874636
D.J. Stephens,874636
D'Angelo Russell,5332800
Damian Lillard,24328425
Daniel Theis,815615
Danilo Gallinari,15050000
Danny Green,10000000
Dante Cunningham,2978250
Dante Exum,3940320
Dario Saric,2318280
Darrell Arthur,8070175
Darren Collison,5229454
David Lee,1551659
Davon Reed,815615
DeAndre Liggins,1577230
DeAndre' Bembry,1499760
DeAndre' Bembry,1567200
Dejounte Murray,1312611
Delon Wright,1577280
DeMarcus Cousins,16957900
DeMarre Carroll,14200000
Demetrius Jackson,1450000
Demetrius Jackson,1384750
Dennis Schroder,2708582
Denzel Valentine,2092200
Derrick Favors,11050000
Derrick Rose,21323252
Derrick White,1404600
Devin Booker,2223600
Devin Harris,4227996
Devyn Marble,980431
Dewayne Dedmon,2898000
Deyonta Davis,1369299
Deyonta Davis,1312611
Diamond Stone,1312611
Dion Waiters,2898000
Dirk Nowitzki,25000000
Domantas Sabonis,2440200
Doug McDermott,2483040
Dragan Bender,4276320
Draymond Green,15330435
Drew Crawford,543471
Drew Gooden,3547000
Duje Dukan,874636
Dwayne Bacon,815615
Dwight Howard,23180275
Dwight Powell,8375000
Dwyane Wade,23200000
E.J. Singler,543471
E'Twaun Moore,8081363
Ed Davis,6666667
Egidijus Mockevicius,543471
Elfrid Payton,2613600
Emmanuel Mudiay,3241800
Enes Kanter,17145838
Eric Bledsoe,14000000
Eric Gordon,12385364
Ersan Ilyasova,8400000
Evan Fournier,17000000
Evan Turner,16393443
Festus Ezeli,7400000
Frank Kaminsky,2730000
Frank Mason III,1184385
Fred VanVleet,1312611
Furkan Korkmaz,1465920
Garrett Temple,8000000
Gary Harris,1655880
George Hill,8000000
Georgios Papagiannis,2202240
Gerald Henderson,9000000
Giannis Antetokounmpo,2995421
Glenn Robinson III,1524305
Goran Dragic,15891725
Gordon Hayward,16073140
Gorgui Dieng,2348783
Grant Jerrett,874636
Greg Monroe,17145838
Greg Stiemsma,980431
Greivis Vasquez,4347826
Guillermo Hernangomez,1350000
Henry Ellenson,1704120
Henry Sims,980431
Ian Mahinmi,15944154
Ike Anigbogu,950000
Iman Shumpert,9662922
Isaiah Canaan,1015696
Isaiah Cousins,543471
Isaiah Thomas,6587132
Ish Smith,6000000
J.J. Barea,4096950
J.J. O'Brien,874636
J.P. Tokoto,543471
Jabari Parker,5374320
Jae Crowder,6286408
Jahlil Okafor,4788840
JaKarr Sampson,980431
Jake Layman,1312611
Jakob Poeltl,2703960
Jalen Jones,543471
Jamal Crawford,13253012
Jamal Murray,3210840
Jameer Nelson,4540525
James Ennis III,2898000
James Harden,26500000
James Johnson,4000000
James Young,1825200
Jared Dudley,10470000
Jared Sullinger,5628000
Jarell Eddie,57672
Jarell Martin,1471382
Jarrett Jack,57672
Jason Smith,5000000
JaVale McGee,1403611
Jaylen Brown,4743000
Jeff Green,15000000
Jeff Teague,8800000
Jeremy Evans,1227286
Jeremy Lamb,6511628
Jeremy Lin,11483254
Jerian Grant,1643040
Jerryd Bayless,9424084
Jimmy Butler,17552209
JJ Redick,7377500
Joakim Noah,17000000
Jodie Meeks,6540000
Joe Ingles,2150000
Joe Johnson,11000000
Joel Embiid,4826160
Joffrey Lauvergne,1709719
Joffrey Lauvergne,1524305
John Henson,12517606
John Holland,874636
John Jenkins,1050961
John Lucas III,980431
John Wall,16957900
Johnny O'Bryant III,1524305
Jon Leuer,10991957
Jonas Jerebko,5000000
Jonas Valanciunas,14382023
Jonathan Gibson,469943
Jordan Adams,1465080
Jordan Adams,1465080
Jordan Clarkson,12500000
Jordan Farmar,980431
Jordan Hill,4000000
Jordan Mickey,1471382
Josh Hart,1394520
Josh McRoberts,5782450
Josh Richardson,1471382
JR Smith,12800000
Jrue Holiday,11286518
Juan Hernangomez,1987440
Julian Jacobs,543471
Julius Randle,3267120
Justin Anderson,1514160
Justin Hamilton,3000000
Justin Harper,57672
Justise Winslow,2593440
Jusuf Nurkic,1921320
Karl-Anthony Towns,5960160
Kawhi Leonard,17638063
Kelly Olynyk,3094014
Kelly Oubre Jr.,2006640
Kemba Walker,12000000
Kendall Marshall,2048257
Kenneth Faried,12078652
Kent Bazemore,15730338
Kentavious Caldwell-Pope,3678319
Kevin Durant,26500000
Kevin Love,21165675
Kevin Murphy,874636
Kevin Seraphin,1800000
Khris Middleton,15200000
KJ McDaniels,3333333
Klay Thompson,16663575
Kosta Koufos,8046500
Kris Dunn,3872520
Kris Humphries,4000000
Kristaps Porzingis,4317720
Kyle Korver,5239437
Kyle Kuzma,1423560
Kyle O'Quinn,3918750
Kyle Singler,4837500
Kyrie Irving,17638063
Lamar Patterson,246956
LaMarcus Aldridge,20575005
Lance Thomas,6191000
Langston Galloway,5200000
Larry Sanders,207722
Leandro Barbosa,4000000
LeBron James,30963450
Livio Jean-Charles,1188840
Lorenzo Brown,1015696
Lou Amundson,980431
Luc Mbah a Moute,2203000
Lucas Nogueira,1921320
Luis Scola,5500000
Luol Deng,18000000
Malachi Richardson,1439800
Malachi Richardson,1504560
Malcolm Delaney,2500000
Malik Beasley,1627320
Manny Harris,115344
Manu Ginobili,14000000
Marc Gasol,21165675
Marcelo Huertas,1500000
Marcelo Huertas,1500000
Marcin Gortat,12000000
Marco Belinelli,6333333
Marcus Morris,4625000
Marcus Smart,3578880
Marcus Thornton,980431
Mario Chalmers,1471382
Mario Hezonja,3909840
Markieff Morris,7400000
Marquese Chriss,2941440
Marreese Speights,1403611
Marshall Plumlee,1312611
Marvin Williams,12250000
Mason Plumlee,2328530
Matt Costello,543471
Matthew Dellavedova,9607500
Maurice Harkless,8988765
Maurice Ndour,543471
Maximilian Kleber,815615
Meyers Leonard,9213483
Michael Beasley,1403611
Michael Carter-Williams,3183526
Michael Kidd-Gilchrist,13000000
Mike Conley,26540100
Mike Dunleavy,4837500
Mike Miller,3500000
Mike Scott,3333334
Mike Tobey,67135
Miles Plumlee,12500000
Mindaugas Kuzminskas,2898000
Mirza Teletovic,10500000
Mitch McGary,1526040
Mitch McGary,1526040
Mo Williams,2194500
Monta Ellis,10763500
Myles Turner,2463840
Nemanja Bjelica,3800000
Nene Hilario,2898000
Nerlens Noel,4384490
Nick Collison,3750000
Nick Johnson,874636
Nick Young,5443918
Nicolas Batum,20869566
Nik Stauskas,2993040
Nikola Jokic,1358500
Nikola Mirotic,5782450
Nikola Pekovic,12100000
Nikola Vucevic,11750000
Noah Vonleh,2751360
Omer Asik,9904494
Otto Porter Jr.,5893981
Pablo Prigioni,980431
Pat Connaughton,1471382
Patrick Patterson,6050000
Patty Mills,3578948
Pau Gasol,15500000
Paul George,18314532
Paul Millsap,20072033
Paul Pierce,3527920
Pierre Jackson,31969
PJ Tucker,5300000
Quincy Acy,1790092
Quincy Pondexter,3617978
R.J. Hunter,864346
Rade Zagorac,950000
Rajon Rondo,14000000
Rakeem Christmas,1471382
Ramon Sessions,6000000
Randy Foye,2500000
Rashad Vaughn,1811040
Rasheed Sulaimon,543471
Rasual Butler,980431
Ray McCallum,121112
Reggie Bullock,2255644
Reggie Jackson,14956522
Reggie Williams,895197
Richard Solomon,543471
Ricky Rubio,13550000
Robbie Hummel,980431
Robin Lopez,13219250
Rodney Hood,1406520
Rodney Stuckey,7000000
Rondae Hollis-Jefferson,1395600
Roy Hibbert,5000000
Rudy Gay,13333333
Rudy Gobert,2121288
Russell Westbrook,26500000
Ryan Anderson,18735364
Ryan Kelly,1577230
Sam Dekker,1720560
Sasha Kaun,1333240
Scott Wood,543471
Sean Kilpatrick,1524305
Semi Ojeleye,1291892
Serge Ibaka,12250000
Sergio Rodriguez,8000000
Shabazz Muhammad,3046299
Shaun Livingston,5782450
Shelvin Mack,2433334
Solomon Hill,11241218
Spencer Hawes,6348759
Stanley Johnson,2969880
Stephen Curry,12112359
Sterling Brown,815615
Steven Adams,3140517
Taj Gibson,8950000
Tarik Black,6191000
Taurean Prince,2318280
Terrence Ross,10000000
Terry Rozier,1906440
Thabo Sefolosha,3850000
Thaddeus Young,14153652
Thomas Walkup,543471
Thon Maker,2568600
Tiago Splitter,8550000
Tibor Pleiss,3000000
Tim Duncan,6393750
Tim Frazier,2090000
Tim Hardaway Jr.,2281605
Timofey Mozgov,16000000
Timothe Luwawu-Cabarrot,1386600
TJ Warren,2128920
Tobias Harris,17200000
Tomas Satoransky,2870813
Toney Douglas,379159
Tony Allen,5505618
Tony Bradley,1414920
Tony Parker,14445313
Tony Snell,2368327
Tony Wroten,1050961
Travis Wear,874636
Treveon Graham,1312611
Trevor Ariza,7806971
Trevor Booker,9250000
Trey Burke,3386598
Trey Lyles,2340600
Tristan Thompson,15330435
Troy Daniels,3332940
Troy Williams,1575133
Tyler Dorsey,815615
Tyler Ennis,1733880
Tyler Johnson,5628000
Tyler Zeller,8000000
Tyreke Evans,10203755
Tyson Chandler,12415000
Tyus Jones,1471382
Udonis Haslem,4000000
Victor Oladipo,6552961
Vince Carter,4264057
Vince Hunter,543471
Wade Baldwin IV,1793760
Wayne Ellington,6000000
Wayne Selden,1312611
Wesley Johnson,5628000
Wesley Matthews,17145838
Will Barton,3533333
Will Bynum,980431
Willie Cauley-Stein,3551160
Willy Hernangomez,1435750
Wilson Chandler,11233146
Zach LaVine,2240880
Zach Randolph,10361445
Zhou Qi,815615